,_id,title,url,school,level,reviews_count,rating,paid,about,duration,pre,skills,price,instructors,source
0,6148bfea3a5d5042c26edbf5,How to Become a Transcriptionist,/course/how-to-become-a-transcriptionist/,[],beginner,1797, 4.7 ,True,A blueprint for building your work-from-home transcription career,1 hour ,"['Headphones ($10 earbuds will work)', 'Free version of Express Scribe', 'Microsoft Word']",[],920.4,['Chelsea'],udemy
1,6148bfef3a5d5042c26edbf6,How To Make A Great First Impression,/course/how-to-make-a-great-first-impression/,[],beginner,3146, 4.4 ,True,"A beginners guide to using eye contact, your smile, a handshake and your words to make a GREAT first impression.",30 mins ,"['a willingness to play with the content and ""have a go""', 'students would need to ""want to"" make a better first impression', 'be willing only to use the skills with a positive intent']",[],296.4,['David'],udemy
2,6148bff53a5d5042c26edbf7,How to Start Investing in Real Estate,/course/how-to-start-investing-in-real-estate/,[],beginner,1, 3.5 ,True,Learn how to start investing in real estate.  Go from complete beginner to a competent investor in no time!,6 hours ,"['A few hours a week to dedicate to learning', 'Common real estate terms', 'Online access with a web browser', 'Be able to look at properties in person']",[],764.4,['Clayton'],udemy
3,6148bffa3a5d5042c26edbf8,Make an Easy Promo Video in 1 Hour: iMovie Spotlight,/course/make-an-easy-promo-video-in-1-hour-imovie-spotlight/,[],beginner,53, 4.3 ,True,"Create easy, effective promo videos for your books, courses, or projects even with limited time, funds, or video skills",1 hour ,"['Students should ideally have a copy of iMovie (for the MAC), though no special knowledge or skills are required to take this course']",[],1310.3999999999999,['Kristen'],udemy
4,6148bfff3a5d5042c26edbf9,Business Analysis Essentials,/course/business-analysis-essentials/,[],beginner,367, 4.0 ,True,Advance from a complete novice to a confident Business Analyst with the help of an expert.,5 hours ,['No pre-requisites are required'],[],1388.3999999999999,['Cristian'],udemy
5,6148c0033a5d5042c26edbfa,Lean Startup: Pitch to Investors With 7 PowerPoint Slides,/course/lean-startup-pitch-to-investors-with-7-powerpoint-slides/,[],beginner,19, 4.2 ,True,"Pitch to investors online or pitch to investors in person, you can use these 7 slides to deliver a ""Perfect"" message! ",1 hour ,"['Willingness to learn', 'Willingness to take action', 'Willingness to ""unlearn"" poor practices']",[],1388.3999999999999,['Boomy'],udemy
6,6148c0083a5d5042c26edbfb,Change Your Life: Run an Online Business from Home,/course/change-your-life-run-an-online-business-from-home/,[],beginner,10, 3.5 ,True,"Change the way you think and ultimately your life, while creating effortless online businesses.",1.5 hours ,"['The willing to change and improve your life and financial situation', 'Computer with internet access']",[],1388.3999999999999,['Ricardo'],udemy
7,6148c00e3a5d5042c26edbfc,Property Management 101,/course/property-management-101/,[],beginner,378, 4.4 ,True,Learn the basics of managing rental property and becoming a landlord.,1 hour ,"['Students should have a basic understanding of basic rental terms such as; lease, tenant, landlord, security deposit, etc. ', 'A desire to know and understand more about the rental process. ']",[],686.4,['RYJA'],udemy
8,6148c0143a5d5042c26edbfd,Intro to Analyzing Rental Income Properties,/course/real-estate-investing-introduction-investment-analysis/,[],beginner,1466, 4.5 ,True,Learn the fundamentals of investment analysis specifically for rental income property investments,6.5 hours ,['Microsoft Excel 2013+'],[],1388.3999999999999,['Symon'],udemy
9,6148c0193a5d5042c26edbfe,Be Your Own Book Publicist: The Step by Step Guide,/course/be-your-own-book-publicist/,[],beginner,73, 4.2 ,True,"Complete Guide To Pitch The Press, Get Published, Sell A LOT of Books, and Learn from World's Top Book Agent",3 hours ,"['You will need to GREATLY desire to write a book (self-publish or traditionally publish), be writing one now, OR have already completed one', ""You will need to know how to write your book on your own... (THIS IS NOT A BOOK WRITING COURSE.. IT'S A HOW-TO MARKET YOUR WORK, SELL TENS OF THOUSANDS OF COPIES, GET PUBLISHED, MAKE MONEY, AND LEARN HOW TO BUILD A SUCCESSFUL CAREER- FEATURING A LITERARY AGENT WHO HAS HELPED HIS AUTHORS SELL OVER $3 BILLION DOLLARS WORTH OF BOOKS""]",[],608.4,['Jake'],udemy
10,6148c01d3a5d5042c26edbff,Start A Business Importing Products From China.,/course/wholesale-alibaba/,[],beginner,24, 3.8 ,True,Learn The Secrets To Import Products  From China At Discounted Rates And Resell Them For A Hugh Profit.,2 hours ,"['Computer With Internet Access.', 'Basic Computer Skills.', 'Knowledge Of How To Use The Internet. ']",[],374.4,['Devon'],udemy
11,6148c0223a5d5042c26edc00,A Flying Introduction to Amazon Web Services: Cloud,/course/a-flying-introduction-to-amazon-web-services-cloud/,[],beginner,288, 3.8 ,True,How to Export Your Computing and Storage to the Web: An Introduction to Amazon Web Services,40 mins ,['Some idea of networks would be helpful'],[],296.4,['Dhruv'],udemy
12,6148c0273a5d5042c26edc01,Wedding planner MBA: the complete how to start 4-in-1 course,/course/wedding-planner-mba/,[],beginner,457, 4.4 ,True,How to start your wedding planning business: the most comprehensive training on the internet,6 hours ,"['This course is for beginners and previous knowledge is not needed', 'We included multiple courses, such as making your business plan from A to Z', 'There are no real tools required but we do point you in the right direction as to software and setup of your office']",[],1232.3999999999999,['Vincent'],udemy
13,6148c02c3a5d5042c26edc02,QUOTE PRINTABLES IN POWERPOINT,/course/earn-passive-income-creating-printables-in-powerpoint/,[],beginner,49, 4.3 ,True,Create attention-grabbing printable quotes in minutes without any design skills,39 mins ,['Need to have a Windows PC and Microsoft PowerPoint (2010 or later version) installed. '],[],1388.3999999999999,['Visual'],udemy
